name,price,url,description_intro,"""VICTOR",***FREE***,***PREORDER,*NEW RELEASE,- EFFORTLESS SHUTTLE FLIGHT WITH EASY SWING AND POWER,20,3U BADMINTON RACKET,3U: MAXIMUM RECOMMENDED TENSION,4U: MAXIMUM RECOMMENDED TENSION,6.4MM SLIM SHAFT STRUCTURE,6.6MM HIGH ELASTIC SLIM CONTROL SHAFT,6.6MM HIGH ELASTIC SLIM SHAFT,6.8MM SLIM SHAFT,<<<DISCONTINUED LEGACY ITEM,A DESIGN BREAKTHROUGH,ADVANCED CARBON FIBER CONSTRUCTION,AERODYNAMIC CROSS-SECTION SYSTEM,AERODYNAMIC CROSS-SECTION SYSTEM & LOW WIND RESISTANCE FRAME,AERODYNAMIC FRAME PROFILE,AGILE & FLEXIBLE DESIGN,ARS-LF80 | ARS,BALANCE,BALANCE POINT,BOOST,BOX FRAME DESIGN,CASE,CAUTION,CHARACTERISTICS,CLASSIC BRAVESWORD BALANCE AND FEEL,COLOR,COMBAT,COMPOSITION,COMPOUND-SWORD,COMPREHENSIVE SHOCK ABSORPTION,CONICAL DYNAMIC TAPER SHAFT,CONICAL FRAME,DESCRIPTIONS,DESIGNED FOR,"DIFFERENT FRAME STRUCTURES-INCLUDING POWER-BOX, DIAMOND, AERO, AND AERDYNAMIC","DIFFERENT FRAME STRUCTURES-INCLUDING POWER-BOX, DIAMOND, AERO, AND AERODYNAMIC",DRIVE,DYNAMIC FRAME,DYNAMIC FRAME SYSTEM,ELASTIC REBOUND SYSTEM,ELASTIC SHAFT & SHAFT TORSION CONTROL,ETA,EXPLOSIVE TAPER,FLEX,FRAME,FRAME MATERIAL,FRAME SHAPE,FREE CORE,FRTP TECH,FULL LENGTH,GIFT BOX INCLUDE,GIFT BOX INCLUDES,GRAVITY TRANSFER SYSTEM,GRIP,GRIP LENGTH,GRIP SIZE,HARD CORED TECHNOLOGY,HARD WIND WHEEL FRAME,HARD-CORED TECHNOLOGY,HDF SHOCK ABSORPTION SYSTEM / CUBIC LOCKING,HIGH DENSITY COMPOSITE SHOCK ABSORPTION SYSTEM,HIGH ELASTIC CARBON FIBER (FRAME & SHAFT MATERIAL),HIGH-DENSITY SHOCK ABSORPTION SYSTEM,HIGHLIGHTS,HOT MELT TECHNOLOGY,HYBRID-ON,INCLUDES,INNOVATIVE NANO RESIN TECHNOLOGY,INSPIRED BY THE MARVEL SUPERHERO,INSTINCT,ISOMETRIC,JOINT,KEYWORD,LAUNCH DATE,LENGTH,LOW WIND RESISTANCE FRAME,MADE IN,MATERIAL,MAXIMUM RACKET TENSION,METALLIC CARBON FIBER,MULTI-DIMENSIONAL COMPOSITE CONTROL SYSTEM,MUSCLE POWER FRAME,NET QUANTITY,NEXT-GEN FRAME,NOTE,OTHERS,OVERALL LENGTH,PLAYER LEVEL,PLAYER TYPE,POWER-BIASED CONTROL DESIGN,POWERBOX,POWERRING,PREORDER ONLY,PRESSURE SHOCK ABSORPTION SYSTEM,PRODUCT,PRODUCT CODE,PRODUCT LAUNCH DATE,PRODUCT RANGE,PRODUCT TYPE,PYROFIL,RACKET CASES CAN BE PURCHASED HERE,RACKET GRIP SIZE,REBOUND-TRANSITION CONSTRUCTION,RECOMMENDED STRING TENSION,RELEASE,RELEASE DATE,SET INCLUDES,SEVENTYSIX-76,SHAFT,SHAFT FLEXIBILITY,SHAFT MATERIAL,SHAFT THICKNESS,SHAFT THICKNESS MM,SHOCK ABSORPTION HANDLE & DUAL/COMPOSITE SHOCK ABSORPTION SYSTEM,SOFT FLEX SHAFT,SOLID HYPER-ELASTIC SHAFT,SONIC-REBOUND TECHNOLOGY,SPEAR 93 BADMINTON RACKET,STABLE TAPER CONE,STIFFNESS,STRING,STRING TENSION,STRING TENSION LBS,STRINGING SERVICE,STRINGING TENSION,STRINGS,STYLE CODE,TENSION,"THE ""YINGCREDIBLE",THE COMPOUND FRAME DESIGN CAN BE DIVIDED INTO THREE MAJOR PARTS,THE NEW LI-NING AXFORCE 100,THE NEW LI-NING AXFORCE 100 (AYPV039),TOUGH STRUCTURE,"TRI-FORMATION: DIFFERENT FRAME STRUCTURES-INCLUDING POWER-BOX, DIAMOND, AERO, AND AERDYNAMIC",TYPE,ULTRA-LIGHTWEIGHT CONSTRUCTION,VICTOR BRAVE SWORD TECHNOLOGY SUPER INSIDER WAVE TECHNOLOGY COMBINED WITH BRAVE SWORD TECHNOLOGY,"VICTOR｜ULTRAMAN COLLECTION FEATURES AN COLLABORATION SERIES OF RACKETS, SHOES, BAGS, APPAREL, AND ACCESSORIES",WEIGHT,WEIGHT / GRIP SIZE,WES,WORLD WIDE LAUNCH DATE
Babolat SATELITE GRAV74 String Badminton Racket [Navy],$102.99 CAD,https://yumo.ca/collections/badminton-rackets/products/babolat-satelite-grav74-strung-badminton-racket-navy,"Do you dream of more manoeuvrability? We’ve made it possible. Check out our Satelite Gravity range, our lightest Babolat racquets. Play with lightness and gain precious seconds in your rallies. Its feather weight gives you optimal manoeuvrability. Greater ease of play.The Satelite Gravity 74 is our lightest Babolat racquet. The combination of its head light design and medium flexibility is perfect for defensive players. Get ready for extreme manoeuvrability and great precision. BENEFITS MANOEUVRABILITY COMFORT ULTRA LIGHT SLIM T High Modulus Graphite Babolat | Satelite | unstrung | grav74 | badminton | advance | light | 601393-100 | 601393",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Badminton Innovations Sweet Spot Trainer 100G,$80.00 CAD,https://yumo.ca/collections/badminton-rackets/products/badminton-innovations-sweet-spot-trainer-100g,"Badminton Innovations Sweet Spot Trainer 100G Learn to always hit the sweet spot and take your concentration to a higher level with the new Sweet Spot Trainer (SST) from Badminton Innovations. The sweet spot of the SST is the same distance from your hand as the sweet spot of a standard 67 cm badminton racquet, so that you will use your natural swing and timing. However, the SST's head is much smaller, and the result is immediate bio-feedback if you miss the sweet spot. When you go back to your regular racquet you'll be amazed with the results! Badminton Innovations Sweet Spot Trainer 100G Badminton Racquet Specs: sst100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BA-SST-100G,,,,,,,,Max 15 lbs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training,,,,,,,
Badminton Innovations Sweet Spot Trainer 80G,$80.00 CAD,https://yumo.ca/collections/badminton-rackets/products/badminton-innovations-sweet-spot-trainer-80g,"Badminton Innovations Sweet Spot Trainer 80G Learn to always hit on the sweet spot, and force your concentration to a higher level with the new Sweet Spot Trainer (SST) 80G from Badminton Innovations. The sweet spot of the SST 80G is the same distance from your hand as the sweet spot of a standard 64.5 cm racquet, so that you will use your natural swing and timing. However, the SST 80G’s head is much smaller, and the result is immediate bio-feedback if you miss the sweet spot. Heighten your concentration as you master hitting on the sweet spot every time. Go back to your usual racquet and be amazed at the improvement. **Manufacture Strings already included** Color: Silver, Black/Yellow Max tension 15lb. Made in China sst80",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Silver, Black/Yellow",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Knight HEX-Force 360-S4 Badminton Racket,$119.99 CAD,https://yumo.ca/collections/badminton-rackets/products/black-knight-hex-force-360-s4-badminton-racket,Designed for: Advanced to International Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The HEX Series Models use Super G Reactive Graphite in a micro-woven matrix to generate faster frame recovery when flexed. The S4 HEX frame uses its hex angularity for a stiff, aerodynamic cross-section that swings faster and hits harder. The HEX-FORCE 360-S4 extends this into the unique hex shaft. The HEX shaft has more lateral stability and resistance to torque than conventional round shafts.",,,,,,,,,,Advanced to International Level,,,,,,,,,,,"Flow-through power and control, from handle to head! Shaped from Super G Reactive Graphite, using BK’s Thermal Core, the HEX technology frame also features a unique HEX shaft and unique eclipse style graphic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sold unstrung. String Tension: ADVANCED: 22-24; EXPERT & PRO: 25-28 Length: 67.5 cm Rigidity (RF): 85 Medium flex AFW: 80 grams Balance: Head heavy Speed: 9.4 Power: 9.3 Control: 9.5 Warranty: 12-months “No Fault” Guarantee*,,,,,,,,,,,,,,,,,,,,,
DHS 1022 Badminton Racket (Double Racket Set w. 3 Shuttlecocks) [Blue & Yellow],$29.99 CAD,https://yumo.ca/collections/badminton-rackets/products/dhs-1022-badminton-racket,Material: 8.4(mm)Aluminum Frame + Steel Shaft Weight: 105+-5g Length: 660+-2(mm) String Tension: 20+-2(LBS) Case: Jeans Case Grip Size: G5 ***FREE*** - 1 Tube (3 Shuttlecock) DHS | Double Happiness | 1022 | Blue | Yellow | black | double racket | badminton racket |,,1 Tube (3 Shuttlecock),,,,,,,,,,,,,,,,,,,,,,,,Jeans Case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,G5,,,,,,,,,,,,,,,,,,,660+-2(mm),,,8.4(mm)Aluminum Frame + Steel Shaft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20+-2(LBS),,,,,,,,,,,,,,,,,105+-5g,,,
DHS 3010 Pre-Strung Badminton Racket [Black],$24.99 CAD,https://yumo.ca/collections/badminton-rackets/products/dhs-3010-pre-strung-badminton-racket-black,"DHS Double Happiness Classic 3010 Badminton Racket is designed and used for junior badminton playing, which is quite popular among amateur players. If you would like to upgrade the strings please select stringing service. Highlights: 1. Star and Classic 3010 series 2. Aluminum Alloy frame 3. Offensive racket 4. Anti-shocking and high durability 5. High quality steel pipe 6. Made for amateur junior DHS | Double Happiness | 3010 | black | badminton racket | 红双喜 | 羽毛球拍 | prestrung | DYPC017-1 | dhs3010 | dhs-3010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,,,,,,,,,,,,,,,,,,,Aluminum Alloy,,,,,658-662 mm,,,,,,G3,,,,,,,,1. Star and Classic 3010 series 2. Aluminum Alloy frame 3. Offensive racket 4. Anti-shocking and high durability 5. High quality steel pipe 6. Made for amateur junior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3010,20-24 LBS,,,,,,,OFF,,,,100g-110g,,,
Discontinued Legendary / Limited Edition Badminton Rackets,"$1,500.00 CAD",https://yumo.ca/collections/badminton-rackets/products/discontinued-collection-racket-no-warranty,<<<Discontinued Legacy Item - No Warranty!>>> There is no warranty for all rackets within this category and they do not come with a racket case . Limited quantities. Grab yours now before they are all gone! discontinued | last batch | Yonex | Victor | Lining | special edition | collection | 威力系列 | 尤尼克斯,,,,,,,,,,,,,,No Warranty!>>>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forza FZ HT Power 36 MasterM C Prestrung Badminton Racket [Black],$219.99 CAD,https://yumo.ca/collections/badminton-rackets/products/forza-fz-ht-power-36-masterm-c-prestrung-badminton-racket,Forza FZ HT Power 36 MasterM C Prestrung Badminton Racket [Black],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88g +/-2,,,
Forza FZ HT Power 36 MasterS D Prestrung Badminton Racket [Raspberry],$219.99 CAD,https://yumo.ca/collections/badminton-rackets/products/forza-fz-ht-power-36-masters-d-prestrung-badminton-racket-raspberry,Forza FZ HT Power 36 MasterS D Prestrung Badminton Racket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88g +/-2,,,
Franklin Fun 5 Game Outdoor Combo Set,$62.99 CAD,https://yumo.ca/collections/badminton-rackets/products/franklin-fun-5-combo-set,Franklin | pickleball | set | badminton | volleyball| Flip Toss | Ring Toss | Flying Disc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5'1"""" poly pole set and 20' x 1.5' net that sets up quickly for Volleyball or Badminton play. (2) Badminton rackets and (1) Volleyball and pump are included",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
